symbol
AAL
AAPL
ABBV
ACI
ADM
ALL
AMZN
AVGO
AXP
BA
BAC
BMY
BRK.B
C
CAH
CAT
CHTR
CI
CMCSA
CNC
COF
COP
COR
COST
CSCO
CVS
CVX
DAL
DE
DELL
DIS
ELV
EPD
ET
F
FDX
FMCC
FNMA
GD
GM
GOOGL
GS
HCA
HD
HPQ
HUM
IBM
INGM
INTC
JNJ
JPM
KO
KR
LLY

LMT
LOW
MCK
MET
META
MPC
MRK
MS
MSFT

NKE
NVDA

ORCL
PAGP
PEP
PFE
PFGC
PG
PGR
PRU
PSX

RTX
SNEX
SNX

SYY
T
TGT

TJX
TRV
TSLA
TSN
UAL
UNH
UPS

VLO
VZ
WBA
WFC
WMT
XOM
