symbol
MCD
SBUX
YUM
QSR
DPZ
BLMN
EAT
DIN
PZZA
KO
PEP
MDLZ
KHC
GIS
HSY
BF.B
STZ
TAP
K
PM
TSN
PG
KVUE
CL
WDFC
EL
COTY
NKE
PVH
LEVI
VFC
GAP
TPR
RL
CPRI
UAA
COLM
ANF
DECK
SKX
HBI
CROX
FL
HAS
MAT
HOG
TSLA
F
GM
LULU
BBWI
VSCO
GES
MKC
