symbol
SSNLF
005930.KS
2357.TW
4716.T
4902.T
6702.T
8035.T
9432.T
NTTYY
AAPL
ADBE
ADI
ADP
AMAT
AMCX
AMD
AMZN
ASM
ASML
AVGO
CAP
CHTR
CMCSA
CRM
CSCO
DASH
DBX
DELL
DIS
DISH
DLR
DOCU
DUOL
EBAY
EMR
EQIX
EXPN
FOXA
GLW
GOOGL
GOOGL
GWW
HPE
HPQ
IBM
INFY
INGM
INTC
IQV
ITW
JCI
KLAC
LNVGY
LYFT
MCHP
META
MRVL
MSFT
MSFT
MSGS
MU
NET
NFLX
NOK
NOW
NVDA
NXPI
ON
ORCL
ORCL
ORCL
PANW
PARA
PINS
QCOM
QRTEA
RDDT
SAP
SATS
SHOP
SMCI
SNAP
SNX
SONY
T
TEAM
TMUS
TSM
UBER
UBSFY
VRSK
VYX / NCR
VZ
WBD
WDAY
ZM
2353
